,artists,track_title,release,date_pulled,chart_rank
0,['Sebastien Leger'],Lanarka,2/25/19,4/3/19,1
1,['CamelPhat'  'Jem Cooke'  'Cristoph'],Breathe,11/16/18,4/3/19,2
2,['CASSIMM'  'Chus & Ceballos'],Dances with Wolves,2/1/19,4/3/19,3
3,"['Matan Caspi'  ""E'sh""]",Eidothea,3/18/19,4/3/19,4
4,['Budakid'],A Molton Arrow,3/25/19,4/3/19,5
5,['Aneesh Gera'  'Paul Thomas'  'White-Akre'],Solace,3/1/19,4/3/19,6
6,['NekliFF'  'Rafael Cerato'  'Kasper Koman'],Marrakesh,2/25/19,4/3/19,7
7,['Diana Miro'  '8Kays'  'Jerome Isma-Ae'],Inside feat. Diana Miro,3/11/19,4/3/19,8
8,['Budakid'  'Zweers'],Estersveld feat. Zweers,3/25/19,4/3/19,9
9,['Paul Thomas'],Allegro,3/22/19,4/3/19,10
10,['Avasono'  'Ziger'],Riells,3/11/19,4/3/19,11
11,['Cid Inc.'],Via Karelia,3/25/19,4/3/19,12
12,['Cid Inc.'],Turning Pages,3/25/19,4/3/19,13
13,['Stan Kolev'],Selcouth,3/18/19,4/3/19,14
14,['Stan Kolev'],Crossroads,3/22/19,4/3/19,15
15,['Space Motion'],Epic,10/29/18,4/3/19,16
16,['BLR'],Méduse,3/22/19,4/3/19,17
17,['IKARIUS'  'Pavel Petrov'],Time,3/1/19,4/3/19,18
18,['Beckers'  'D-Nox'  'Navar'],Polyacid,2/11/19,4/3/19,19
19,['Stan Kolev'],Inscape,12/24/18,4/3/19,20
20,['Avoure'],Aura,11/29/18,4/3/19,21
21,['Formel'  'Ziger'],Unawatuna,3/25/19,4/3/19,22
22,['Dabeat'  'Kamilo Sanclemente'  'Kasper Koman'],Implant,2/11/19,4/3/19,23
23,['Darin Epsilon'  'Marc DePulse'],Anamorphosis,3/29/19,4/3/19,24
24,['Luke Mandala'  'Bizio'  'Antrim'],Mother of Dragons,3/22/19,4/3/19,25
25,['Alex Graham'  'Kristian Nairn'],Life Is Too Short,3/22/19,4/3/19,26
26,['Stan Kolev'],Phases,3/8/19,4/3/19,27
27,['Stan Kolev'  'D-Nox'  'K.A.L.I.L.'],Selcouth,3/18/19,4/3/19,28
28,['Roger Martinez'],Songlines,3/18/19,4/3/19,29
29,['Virtual Self'  'Lane 8'],Ghost Voices,2/12/19,4/3/19,30
30,['Memory (ARG)'],Quique,3/25/19,4/3/19,31
31,['King & Early'],Moving Forward,3/8/19,4/3/19,32
32,['Stan Kolev'  'Austin Pettit'],Listen,1/11/19,4/3/19,33
33,['Sam Heyman'],Betelgeuse,2/28/19,4/3/19,34
34,['Darin Epsilon'  'Marc DePulse'],Penrose,3/29/19,4/3/19,35
35,['Sebastian Sellares'  'Simply City'],Epiphany in the Woods,3/25/19,4/3/19,36
36,['D-Nox'  'Uone'  'Western'  'Paul Anthonee'],Never,3/11/19,4/3/19,37
37,['Max Freegrant'  'Slow Fish'],We Got Space,3/8/19,4/3/19,38
38,['D-Formation'],Closer,3/4/19,4/3/19,39
39,['Ezequiel Arias'  'Artfaq'],Babel,2/18/19,4/3/19,40
40,['Beckers'  'D-Nox'],Polyacid,2/11/19,4/3/19,41
41,['Marcus Meinhardt'],Bamboo,6/29/18,4/3/19,42
42,['Ben Bohmer'],After Earth,1/5/18,4/3/19,43
43,['Diana Miro'  '8Kays'],Inside feat. Diana Miro,3/11/19,4/3/19,44
44,['Antrim'  'Black 8'],Experiments,2/25/19,4/3/19,45
45,['Antrim'  'Ezequiel Arias'],Reimagined,3/25/19,4/3/19,46
46,['Juan Pablo Torrez'  'Kamilo Sanclemente'],Dhama,3/25/19,4/3/19,47
47,['Andre Sobota'],Current,3/8/19,4/3/19,48
48,['GRAZZE'  'Stan Kolev'],Lost,3/8/19,4/3/19,49
49,['Prospa'  'Will Easton'],Prayer,2/22/19,4/3/19,50
50,['Kasper Koman'],Hi,12/10/18,4/3/19,51
51,['D-Nox'  'Uone'  'Western'  'Dousk'],Never,3/11/19,4/3/19,52
52,['Haze-M'  'Juan Elvadin'  'Stan Kolev'],Replika,2/25/19,4/3/19,53
53,['Sebastien Leger'],Sablier,2/25/19,4/3/19,54
54,['Steve Parry'],Michelada,3/15/19,4/3/19,55
55,['Kymatik'],Bloemen En Flinders,3/4/19,4/3/19,56
56,['Affkt'  'Damon Jee'],Parafernalia,12/23/18,4/3/19,57
57,['Artche'],Tell Me,3/22/19,4/3/19,58
58,['DJ San'  'Stan Kolev'],Put The Kettle On,3/4/19,4/3/19,59
59,['Madloch'  'Subnode'  'Navar'],Lion's Mane,3/25/19,4/3/19,60
60,['Gux Jimenez'  'Stan Kolev'],Raices,3/11/19,4/3/19,61
61,['Kamilo Sanclemente'],From The Sky,3/1/19,4/3/19,62
62,['Stan Kolev'  'Petar Dundov'],Selcouth,3/18/19,4/3/19,63
63,['Gadi Mitrani'],Mirror Room,3/25/19,4/3/19,64
64,['Bluum'],Farpoint,3/15/19,4/3/19,65
65,['The Organism'],Root,3/4/19,4/3/19,66
66,['Emi Galvan'],Karma,2/4/19,4/3/19,67
67,['Simon Berry'  'Luke Brancaccio'  'Yotto'],I Hear This,12/3/18,4/3/19,68
68,['Gai Barone'],Omuamua,3/18/19,4/3/19,69
69,['DJ San'],7th Dimension,3/22/19,4/3/19,70
70,['Eric Lune'  'Paul Angelo'  'Don Argento'],Matter of Fact,3/11/19,4/3/19,71
71,['Audioglider'  'Aman Anand'  'Priya Sen'],Caging the Sun,2/22/19,4/3/19,72
72,['Underset'  'Klaus Dead'  'Analog Jungs'],Airport,3/1/19,4/3/19,73
73,['Matias Vila'  'Hermanez'  'Eran Aviner'],Ahora,1/14/19,4/3/19,74
74,['Gai Barone'],Boston,3/25/19,4/3/19,75
75,['Space Motion'],Unihorn,10/29/18,4/3/19,76
76,['Betoko'],Kordial,3/15/19,4/3/19,77
77,['Zoo Brazil'  'Wolf & Moon'  'Dave Seaman'],Thunderstorm,2/8/19,4/3/19,78
78,['Rue'  'Alastor'  'Jerome Isma-Ae'],Untethered,1/21/19,4/3/19,79
79,"['Matan Caspi'  ""E'sh""]",Yemoja,12/17/18,4/3/19,80
80,['Stan Kolev'],Nu Moon,8/6/18,4/3/19,81
81,['Uone'],Black Wolf,3/15/19,4/3/19,82
82,['Th;en'],Shira,3/11/19,4/3/19,83
83,['Dabeat'  'Kamilo Sanclemente'  'Enamour'],Your Smile Is Priceless,2/11/19,4/3/19,84
84,['Solee'],Time,2/11/19,4/3/19,85
85,['fran&co'  'Stan Kolev'],Symphony From Outer Space,10/1/18,4/3/19,86
86,['Ziger'],After Midnight,7/16/18,4/3/19,87
87,['Juan Deminicis'],Mantra,3/15/19,4/3/19,88
88,['Judah (Official)'],In And Out of My Life,3/8/19,4/3/19,89
89,['Nico Morano'],Epirus,3/4/19,4/3/19,90
90,['Essay'],Archangel,1/25/19,4/3/19,91
91,['David Jackson'],Lullaby,3/29/19,4/3/19,92
92,['Antrim'],Let It Flow,3/18/19,4/3/19,93
93,['Applescal'],Saints,2/22/19,4/3/19,94
94,['Matt Fax'],To The Ground,2/8/19,4/3/19,95
95,['Touchtalk'  'Tolkien 32'  'Touchtalk'],Got To Go,3/25/19,4/3/19,96
96,"[""Rick Pier O'Neil""  'RPO']",Atlantis,3/25/19,4/3/19,97
97,['Sebastian Sellares'],Epiphany in the Woods,3/25/19,4/3/19,98
98,['Starkato'],Astral,3/25/19,4/3/19,99
99,['Gai Barone'],Boston,3/25/19,4/3/19,100
