,artists,track_title,release
0,['Sebastien Leger'],Lanarka,2019-02-25
1,"['CamelPhat', 'Jem Cooke', 'Cristoph']",Breathe,2018-11-16
2,"['CASSIMM', 'Chus & Ceballos']",Dances with Wolves,2019-02-01
3,"['Aneesh Gera', 'Paul Thomas', 'White-Akre']",Solace,2019-03-01
4,"['Matan Caspi', ""E'sh""]",Eidothea,2019-03-18
5,['Applescal'],Saints,2019-02-22
6,"['Diana Miro', '8Kays', 'Jerome Isma-Ae']",Inside feat. Diana Miro,2019-03-11
7,['BLR'],Méduse,2019-03-22
8,"['Avasono', 'Ziger']",Riells,2019-03-11
9,"['NekliFF', 'Rafael Cerato', 'Kasper Koman']",Marrakesh,2019-02-25
10,['Stan Kolev'],Fury,2019-04-01
11,['Paul Thomas'],Allegro,2019-03-22
12,['Budakid'],A Molton Arrow,2019-03-25
13,['Stan Kolev'],Inscape,2018-12-24
14,"['IKARIUS', 'Pavel Petrov']",Time,2019-03-01
15,"['Darin Epsilon', 'Marc DePulse']",Anamorphosis,2019-03-29
16,['Stan Kolev'],Selcouth,2019-03-18
17,"['Formel', 'Ziger']",Unawatuna,2019-03-25
18,['Space Motion'],Epic,2018-10-29
19,"['Budakid', 'Zweers']",Estersveld feat. Zweers,2019-03-25
20,['Cid Inc.'],Turning Pages,2019-03-25
21,"['Motel Sazani', 'Monastetiq']",E Ke Keq Aty,2019-04-01
22,['Cid Inc.'],Via Karelia,2019-03-25
23,['Stas Drive'],Getaria,2019-04-01
24,['Stan Kolev'],Crossroads,2019-03-22
25,"['Beckers', 'D-Nox', 'Navar']",Polyacid,2019-02-11
26,['Avoure'],Aura,2018-11-29
27,['King & Early'],Moving Forward,2019-03-08
28,"['Luke Mandala', 'Bizio', 'Antrim']",Mother of Dragons,2019-03-22
29,['Marcus Meinhardt'],Bamboo,2018-06-29
30,"[""Rafa'EL"", 'Black 8']",Revival,2019-04-01
31,"['Remcord', 'Donamaria']",Follow The Light,2019-04-01
32,"['Kamilo Sanclemente', 'Andre Moret', 'Arnas D']",Acacias,2019-04-01
33,"['Sebastian Sellares', 'Simply City']",Epiphany in the Woods,2019-03-25
34,"['Virtual Self', 'Lane 8']",Ghost Voices,2019-02-12
35,"['Antrim', 'Black 8']",Experiments,2019-02-25
36,"['Prospa', 'Will Easton']",Prayer,2019-02-22
37,"['Ezequiel Arias', 'Artfaq']",Babel,2019-02-18
38,"['Dabeat', 'Kamilo Sanclemente', 'Kasper Koman']",Implant,2019-02-11
